sample	sampleName	total	chrx	chr16	fold	rpm	rpm.chrx	rpm.chr16	rpm.spikein	asyn.spikein	sf	meansf.25	ID	cells	time	group	batch	batch1
2143173_R42AA04_90_rep1	counts.2143173_R42AA04_90_rep1.counts	123836730	4552615	120679	37.72499772	0.008075149	36763.04276	974.5008609	2325.402568	1057.278683	2.199422541	2.1895446895	2143173	R42AA04	90	R42A	MD	md.1
2143174_R42AA04_90_rep2	counts.2143174_R42AA04_90_rep2.counts	130537534	4904072	125267	39.14895383	0.007660632	37568.29051	959.624379	2358.226715	1057.278683	2.230468421	2.1895446895	2143174	R42AA04	90	R42A	MD	md.1
2143175_R42AA10_90_rep1	counts.2143175_R42AA10_90_rep1.counts	123965728	5199111	169982	30.58624443	0.008066746	41939.90617	1371.201563	2782.59609	1057.278683	2.63184734	2.1895446895	2143175	R42AA10	90	R42A	MD	md.1
2143176_R42AA10_90_rep2	counts.2143176_R42AA10_90_rep2.counts	117165109	3061321	114165	26.81488197	0.008534964	26128.26486	974.3941774	1793.610332	1057.278683	1.696440456	2.1895446895	2143176	R42AA10	90	R42A	MD	md.1
2143179_MD30_90_rep1	counts.2143179_MD30_90_rep1.counts	83682654	5517452	213654	25.82423919	0.011949908	65933.04271	2553.145602	4573.224936	1057.278683	4.325467834	3.249080446	2143179	MD30	90	MD	MD	md.1
2143180_MD30_90_rep2	counts.2143180_MD30_90_rep2.counts	137370080	7455077	149231	49.95662429	0.007279606	54270.02008	1086.342819	3256.672414	1057.278683	3.080240305	3.249080446	2143180	MD30	90	MD	MD	md.1
2148677_R42AA04_45min_rep1	counts.2148677_R42AA04_45min_rep1.counts	141143466	2851239	111166	25.64848065	0.00708499	20200.99889	787.6099628	1403.854926	1057.278683	1.327800275	1.27013709725	2148677	R42AA04	45	R42A	MD	md.2
2148678_R42AA04_45min_rep2	counts.2148678_R42AA04_45min_rep2.counts	135646412	2567215	94614	27.13356374	0.007372108	18925.78626	697.504627	1295.041626	1057.278683	1.224881998	1.27013709725	2148678	R42AA04	45	R42A	MD	md.2
2148679_R42AA10_45min_rep1	counts.2148679_R42AA10_45min_rep1.counts	149662456	3253782	113779	28.59738616	0.006681702	21740.80318	760.2374239	1467.158871	1057.278683	1.387674692	1.27013709725	2148679	R42AA10	45	R42A	MD	md.2
2148680_R42AA10_45min_rep2	counts.2148680_R42AA10_45min_rep2.counts	136611728	2527469	76624	32.98534402	0.007320016	18501.11288	560.8888865	1205.500087	1057.278683	1.140191424	1.27013709725	2148680	R42AA10	45	R42A	MD	md.2
2148681_MD09_45min_rep1	counts.2148681_MD09_45min_rep1.counts	85363539	1940740	55043	35.25861599	0.011714603	22734.99931	644.8069122	1459.153421	1057.278683	1.380102942	1.32679208375	2148681	MD09	45	MD	MD	md.2
